Name,University,Bachelors,Masters,Doctorate,PostDoc,JoinYear,Rank,Subfield,Gender,PhotoURL,Sources,LastUpdateBy,LastUpdatedDate
Dongning Guo,Northwestern University,University of Science and Technology of China - China,,Princeton University - USA,,2004,Associate,Software Engineering,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/guo-dongning.jpg,http://www.ece.northwestern.edu/~dguo/,2,2015-10-09
Doug Downey,Northwestern University,Case Western Reserve University - USA,Case Western Reserve University - USA,University of Washington - USA,,2008,Assistant,Natural Language & Speech,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/downey-douglas.jpg,http://www.cs.northwestern.edu/~ddowney/downey_CV.pdf,2,2015-10-09
Fabin E Bustamante,Northwestern University,National University of Patagonia San Juan Bosco - Argentina,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,2008,Associate,Networks & Communications,,,http://www.cs.northwestern.edu/~fabianb/vita/vita.pdf,2,2016-07-24
Goce Trajcevski,Northwestern University,University of Sts. Kiril and Metodij - Skopje - Macedonia,University of Illinois at Chicago - USA,University of Illinois at Chicago - USA,Northwestern University - USA,2007,Assistant,Algorithms & Theory,,,http://www.ece.northwestern.edu/~goce/,2,2016-07-24
Gokhan Memik,Northwestern University,Bogaziçi University - Turkey,Northwestern University - USA,University of California - Los Angeles - USA,,2003,Associate,Hardware & Architecture,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/memik-gokhan.jpg,http://users.eecs.northwestern.edu/~memik/resu.html,2,2015-10-09
Hai Zhou,Northwestern University,Tsinghua University - Beijing - China,Tsinghua University - Beijing - China,University of Texas - Austin - USA,,2007,Assistant,Algorithms & Theory,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/zhou-hai.jpg,http://users.eecs.northwestern.edu/~haizhou/,2,2015-10-09
Haoqi Zhang,Northwestern University,Harvard University - USA,,Harvard University - USA,,2013,Assistant,Human-Computer Interaction,Male,http://www.eecs.northwestern.edu/images/comprofiler/429_52b8494a80bc6.jpg,http://segal.northwestern.edu/news-events/events/haoqi-zhang-segal-seminar.html#.UvbNA2JdUfU,2,2015-10-09
Hooman Mohseni,Northwestern University,Amirkabir University of Technology - Iran,Sharif University of Technology - Tehran - Iran,Northwestern University - USA,,2004,Associate,Bioinformatics & Computational Biology,,,http://users.eecs.northwestern.edu/~hmohseni/,2,2016-07-24
Horace Yuen,Northwestern University,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,,Full,Graphics,,,http://www.mccormick.northwestern.edu/directory/profiles/Horace-Yuen.html,2,2016-07-24
Ian Horswill,Northwestern University,University of Minnesota - Twin Cities - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,,Associate,Artificial Intelligence,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/horswill-ian.jpg,http://www.cs.northwestern.edu/~ian/,2,2015-10-09
Jack Tumblin,Northwestern University,Georgia Institute of Technology - USA,University of Southern California - USA,Georgia Institute of Technology - USA,,,Associate,Graphics,Male,http://eecs.northwestern.edu/images/comprofiler/153_526ac80c0b8dc.jpg,http://www.cs.northwestern.edu/~jet/Publications/TumblinCV_2009aug.pdf,2,2015-10-09
Jason D Hartline,Northwestern University,Cornell University - USA,University of Washington - USA,University of Washington - USA,,2008,Associate,Algorithms & Theory,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/hartline-jason.jpg,http://www.eecs.northwestern.edu/people/userprofile/hartline,2,2015-10-09
Kenneth D Forbus,Northwestern University,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,1992,Full,Human-Computer Interaction,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/forbus-ken.jpg,http://spatiallearning.org/index.php/people/silc-members/100-faculty/18-kenneth-forbus,2,2015-10-09
Koray Aydin,Northwestern University,Bilkent University - Turkey,,Bilkent University - Turkey,California Institute of Technology - USA,2011,Assistant,Hardware & Architecture,,,http://users.eecs.northwestern.edu/~aydin/MNDL/People.html,2,2016-07-24
Kristian Hammond,Northwestern University,Yale University - USA,Yale University - USA,Yale University - USA,,,Full,Artificial Intelligence,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/hammond-kristian.jpg,http://www.mccormick.northwestern.edu/directory/profiles/Kristian-J-Hammond.html,2,2015-10-09
Larry Birnbaum,Northwestern University,Yale University - USA,Yale University - USA,Yale University - USA,,1989,Full,Natural Language & Speech,Male,http://eecs.northwestern.edu/images/comprofiler/137_5252fbfbc09b6.jpg,https://www.mccormick.northwestern.edu/directory/profiles/Larry-Birnbaum.html,2,2015-10-09
Lawrence Henschen,Northwestern University,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,1971,Full,Networks & Communications,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/henschen-larry.jpg,http://www.ece.northwestern.edu/~henschen/,2,2015-10-09
Louis Gomez,Northwestern University,Stony Brook University - USA,,University of California - Berkeley - USA,,2001,Associate,Computer Education,,,http://www.exploratorium.edu/louis-gomez,2,2016-07-24
Manijeh Razeghi,Northwestern University,University of Paris - France,University of Paris - France,University of Paris - France,,1991,Full,Algorithms & Theory,,,https://www.mccormick.northwestern.edu/directory/profiles/Manijeh-Razeghi.html,2,2016-07-24
Martin Plonus,Northwestern University,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,University of Michigan - USA,,,Full,Networks & Communications,,,http://users.eecs.northwestern.edu/~plonus/,2,2016-07-24
Matthew Grayson,,,,Not Applied
Michael Honig,Northwestern University,Stanford University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,1994,Full,Networks & Communications,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/honig-michael.jpg,http://www.ece.northwestern.edu/~mh/CV/cv_mh.pdf,2,2015-10-09
Michael Horn,Northwestern University,Brown University - USA,,Tufts University - USA,,2010,Assistant,Computer Education,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/horn-michael.jpg,http://segal.northwestern.edu/people/profiles/horn-michael.html,2,2015-10-09
Ming-Yang Kao,Northwestern University,National Taiwan University - Taipei - Taiwan,,Yale University - USA,,,Full,Algorithms & Theory,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/kao-ming-yang.jpg,http://www.cs.northwestern.edu/~kao/,2,2015-10-09
Morteza Amir Rahimi,Northwestern University,Michigan State University - USA,Michigan State University - USA,University of Iowa - USA,,1992,Full,Hardware & Architecture,,,http://users.eecs.northwestern.edu/~rahimi/,2,2016-07-24
Nikos Hardavellas,Northwestern University,University of Crete - Greece,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,2009,Assistant,Distributed & Parallel Computing,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/hardavellas-nikos.jpg,http://users.eecs.northwestern.edu/~hardav/,2,2015-10-09
Oliver S. Cossairt,Northwestern University,,Massachusetts Institute of Technology - USA,Columbia University - USA,Columbia University - USA,2012,Full,Computer Vision,Male,http://eecs.northwestern.edu/images/comprofiler/640_52cebdd9425ba.jpg,http://www.eecs.northwestern.edu/people/userprofile/ollie,2,2015-10-09
Peter A Dinda,Northwestern University,University of Wisconsin - Madison - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,,Full,Distributed & Parallel Computing,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/dinda-peter.jpg,http://www.mccormick.northwestern.edu/docs/public_cv/Dinda-Peter-CV.pdf,2,2015-10-09
Peter Scheuermann,Northwestern University,Tel Aviv University - Israel,Stony Brook University - USA,Stony Brook University - USA,,1979,Full,Databases,Male,http://eecs.northwestern.edu/images/comprofiler/158_526ad2d4614e1.jpg,http://www.mccormick.northwestern.edu/directory/profiles/Peter-Scheuermann.html,2,2015-10-09
Prem Kumar,Northwestern University,University of Delhi - India,Indian Institute of Technology - Kanpur - India,State University of New York - Buffalo - USA,,1986,Full,Scientific Computing,,,http://www.ece.northwestern.edu/~kumarp/,2,2016-07-24
Randall Berry,Northwestern University,Missouri University of Science and Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,2000,Full,Networks & Communications,Male,http://eecs.northwestern.edu/images/comprofiler/135_525310f203761.jpg,http://www.ece.northwestern.edu/~rberry/index.html,2,2015-10-09
Randy Freeman,Northwestern University,Cornell University - USA,University of Illinois at Urbana-Champaign - USA,University of California - Santa Barbara - USA,,1996,Full,Scientific Computing,,,http://www.mccormick.northwestern.edu/directory/profiles/Randy-Freeman.html,2,2016-07-24
Robby Findler,Northwestern University,Carnegie Mellon University - USA,,Rice University - USA,,,Associate,Programming Languages,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/findler-robert.jpg,http://www.mccormick.northwestern.edu/directory/profiles/Robert-Findler.html,2,2015-10-09
Robert P Dick,Northwestern University,Clarkson University - USA,,Princeton University - USA,,,Associate,Real-Time & Embedded Systems,,,http://robertdick.org/,2,2016-07-24
Russ Joseph,Northwestern University,Carnegie Mellon University - USA,Princeton University - USA,Princeton University - USA,,,Associate,Hardware & Architecture,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/joseph-russell.jpg,http://www.ece.northwestern.edu/~rjoseph/,2,2015-10-09
Seda Ogrenci Memik,Northwestern University,Bogaziçi University - Turkey,Northwestern University - USA,University of California - Los Angeles - USA,,2009,Associate,Computer Education,Female,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/memik-seda.jpg,http://www.mccormick.northwestern.edu/directory/profiles/Seda-Ogrenci-Memik.html,2,2015-10-09
Selim Shahriar,Northwestern University,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,,Full,Networks & Communications,,,http://www.mccormick.northwestern.edu/directory/profiles/Selim-Shahriar.html,5383,2016-12-08
Seng-Tiong Ho,Northwestern University,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,1991,Full,Networks & Communications,,,http://users.eecs.northwestern.edu/~sth/Professor.htm,2,2016-07-24
Thrasyvoulos N Pappas,Northwestern University,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,1999,Full,Graphics,,,http://users.eecs.northwestern.edu/~pappas/,2,2016-07-24
Tom Hinrichs,Northwestern University,Cornell University - USA,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,2002,Research,Artificial Intelligence,,,http://www.tomhinrichs.com/,2,2015-08-07
Uri Wilensky,Northwestern University,Brandeis University - USA,Brandeis University - USA,Massachusetts Institute of Technology - USA,,,Full,Computer Education,Male,http://eecs.northwestern.edu/images/comprofiler/151_526ac61cce400.jpg,http://www.sesp.northwestern.edu/profile/?p=89,2,2015-10-09
Wei-Chung Lin,Northwestern University,National Taiwan University - Taipei - Taiwan,Michigan State University - USA,Purdue University - USA,,,Associate,Computer Vision,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/lin-wei-chung.jpg,http://www.mccormick.northwestern.edu/directory/profiles/Wei-Chung-Lin.html,2,2015-10-09
Yan Chen,Northwestern University,Zhejiang University - Hangzhou - China,Stony Brook University - USA,University of California - Berkeley - USA,,,Associate,Networks & Communications,Male,http://eecs.northwestern.edu/images/comprofiler/141_5252fb830fef5.jpg,http://www.cs.northwestern.edu/~ychen/http://www.cs.northwestern.edu/~ychen/cv.pdf,2,2015-10-09
Ying Wu,Northwestern University,Huazhong University of Science and Technology - China,Tsinghua University - Beijing - China,University of Illinois at Urbana-Champaign - USA,,2001,Full,Computer Vision,,,http://www.ece.northwestern.edu/~yingwu/,2,2016-07-24
Anastasios Sidiropoulos,Ohio State University,,,Massachusetts Institute of Technology - USA,,2013,Assistant,Algorithms & Theory,,,http://www.cse.ohio-state.edu/~tasos/,2,2016-07-24
Anish Arora,Ohio State University,Indian Institute of Technology - Delhi - India,University of Texas - Austin - USA,University of Texas - Austin - USA,,2002,Full,Distributed & Parallel Computing,,,http://www.cse.ohio-state.edu/~anish/cv.pdf,2,2016-07-24
Arnab Nandi,Ohio State University,University of Delhi - India,,University of Michigan - USA,,2012,Assistant,Databases,,,http://arnab.org/,2,2016-07-24
Atanas Rountev,Ohio State University,Technical University of Sofia - Bulgaria,,Rutgers University - USA,,2002,Associate,Software Engineering,,,http://www.cse.ohio-state.edu/~rountev/presto/nasko/CV.pdf,2,2016-07-24
Brian Kulis,Ohio State University,Cornell University - USA,,University of Texas - Austin - USA,University of California - Berkeley - USA,2012,Assistant,Machine Learning & Pattern Recognition,,,http://www.cse.ohio-state.edu/~kulis/cv.pdf,4149,2016-09-22
Christopher Stewart,Ohio State University,Morehouse College - USA,University of Rochester - USA,University of Rochester - USA,,2009,Assistant,Distributed & Parallel Computing,,,http://www.cse.ohio-state.edu/~cstewart/,2,2016-07-24
Chunyi Peng,Ohio State University,Tsinghua University - Beijing - China,University of California - Los Angeles - USA,University of California - Los Angeles - USA,,2013,Assistant,Networks & Communications,,,http://www.cse.ohio-state.edu/~chunyi/,2,2016-07-24
Dhabaleswar K (DK) Panda,Ohio State University,Indian Institute of Technology - Kanpur - India,Indian Institute of Science - Bangalore - India,University of Southern California - USA,,1991,Full,Distributed & Parallel Computing,,,http://www.cse.ohio-state.edu/~panda/,2,2016-07-24
DeLiang Wang,Ohio State University,Peking University - Beijing - China,Peking University - Beijing - China,University of Southern California - USA,,1991,Full,Networks & Communications,,,http://www.cse.ohio-state.edu/~dwang/,9068,2018-01-23
Dong Xuan Xuan,Ohio State University,Shanghai Jiao Tong University - Shanghai - China,Shanghai Jiao Tong University - Shanghai - China,Texas A&M University - USA,,2007,Full,Distributed & Parallel Computing,,,http://www.cse.ohio-state.edu/~xuan/,2,2016-07-24
